,Date,High,Low,Open,Close,Volume,Adj Close,%Gain or %Loss
1331,2020-04-17,128.1199951171875,123.22000122070312,125.11000061035156,124.11000061035156,2128300,124.11000061035156,-1.4633755068616836
1332,2020-04-20,124.48999786376952,120.51000213623048,120.77999877929688,122.66000366210938,856300,122.66000366210938,1.168315962542384
1333,2020-04-21,121.22000122070312,118.62000274658205,121.0199966430664,119.83999633789062,676400,119.83999633789062,2.2990438937104583
1334,2020-04-22,124.0,120.08999633789062,122.3499984741211,123.20999908447266,655300,123.20999908447266,-2.812085154842845
1335,2020-04-23,125.55999755859376,122.5999984741211,122.9800033569336,124.0199966430664,889600,124.0199966430664,-0.6574121943125869
1336,2020-04-24,127.55999755859376,124.0199966430664,124.98999786376952,127.31999969482422,843800,127.31999969482422,-2.660863684148717
1337,2020-04-27,132.24000549316406,127.5,128.39999389648438,130.91999816894528,1392300,130.91999816894528,-2.827520014726651
1338,2020-04-28,153.55999755859375,140.10000610351562,147.85000610351562,140.86000061035156,4579400,140.86000061035156,-7.592424824646908
1339,2020-04-29,145.8800048828125,141.58999633789062,141.99000549316406,142.69000244140625,1561300,142.69000244140625,-1.2991635830791013
1340,2020-04-30,143.38999938964844,139.14999389648438,141.77999877929688,139.25999450683594,1027000,139.25999450683594,2.4038179801551265
1341,2020-05-01,137.97999572753906,134.24000549316406,134.42999267578122,135.30000305175778,874200,135.30000305175778,2.843595871952851
1342,2020-05-04,135.49000549316406,132.05999755859378,132.13999938964844,135.39999389648438,850000,135.39999389648438,-0.07390306169345787
1343,2020-05-05,137.35000610351562,135.63999938964844,135.72999572753906,136.52000427246094,939700,136.52000427246094,-0.8271864301802182
1344,2020-05-06,143.02999877929688,136.8800048828125,137.27000427246094,141.8000030517578,1068400,141.8000030517578,-3.867564176718947
1345,2020-05-07,143.88999938964844,141.38999938964844,142.1699981689453,142.7100067138672,582300,142.7100067138672,-0.6417515109482885
1346,2020-05-08,149.10000610351562,143.42999267578125,143.83999633789062,149.02000427246094,846800,149.02000427246094,-4.42155228206615
1347,2020-05-11,149.2899932861328,147.2100067138672,148.19000244140625,148.47000122070312,614300,148.47000122070312,0.36908001341364455
1348,2020-05-12,149.3800048828125,140.41000366210938,148.6999969482422,140.41000366210938,965000,140.41000366210938,5.428704446908726
1349,2020-05-13,140.97999572753906,136.10000610351562,139.42999267578122,137.02999877929688,701200,137.02999877929688,2.4072393666097582
1350,2020-05-14,138.0,135.05999755859378,136.0,137.1199951171875,727800,137.1199951171875,-0.06567637648130963
1351,2020-05-15,140.71000671386722,135.80000305175778,136.86000061035156,138.72999572753906,1552100,138.72999572753906,-1.1741545126045259
1352,2020-05-18,142.64999389648438,140.44000244140622,141.50999450683594,141.1699981689453,630000,141.1699981689453,-1.758813895012533
1353,2020-05-19,141.97000122070312,138.77000427246094,141.80999755859375,138.92999267578122,532000,138.92999267578122,1.5867433039726775
1354,2020-05-20,142.27000427246094,139.75,139.97000122070312,140.3800048828125,567000,140.3800048828125,-1.0436999089283403
1355,2020-05-21,140.69999694824222,137.05999755859378,140.33000183105472,137.13999938964844,490200,137.13999938964844,2.308024918412547
1356,2020-05-22,137.58999633789062,134.92999267578122,136.96000671386722,137.30999755859378,880900,137.30999755859378,-0.12395958123226643
1357,2020-05-26,141.75999450683594,138.00999450683594,141.13999938964844,139.11000061035156,807600,139.11000061035156,-1.3109045836153888
1358,2020-05-27,145.38999938964844,139.19000244140622,139.92999267578122,145.27000427246094,994600,145.27000427246094,-4.428152997686776
1359,2020-05-28,146.0,142.2100067138672,145.47000122070312,142.25,783200,142.25,2.078890468535248
1360,2020-05-29,145.13999938964844,140.80999755859375,143.52999877929688,144.9199981689453,922500,144.9199981689453,-1.8769758656909052
1361,2020-06-01,146.47999572753906,142.4199981689453,144.74000549316406,145.82000732421875,710100,145.82000732421875,-0.6210386189932336
1362,2020-06-02,147.3699951171875,144.49000549316406,146.6300048828125,146.5399932861328,589700,146.5399932861328,-0.49374977763732597
1363,2020-06-03,147.42999267578125,145.4499969482422,145.9199981689453,146.08999633789062,550400,146.08999633789062,0.30708132172732333
1364,2020-06-04,146.08999633789062,141.22000122070312,146.08999633789062,142.88999938964844,935900,142.88999938964844,2.190428522457441
1365,2020-06-05,146.9499969482422,143.72000122070312,144.11000061035156,145.13999938964844,456100,145.13999938964844,-1.5746378400243728
1366,2020-06-08,147.63999938964844,144.83999633789062,145.86000061035156,146.27999877929688,536700,146.27999877929688,-0.7854481152283534
1367,2020-06-09,146.0,143.82000732421875,145.74000549316406,143.9199981689453,387500,143.9199981689453,1.6133447019727316
1368,2020-06-10,147.8300018310547,142.6300048828125,144.75999450683594,146.02000427246094,700400,146.02000427246094,-1.4591482283445156
1369,2020-06-11,144.02999877929688,137.46000671386722,144.02999877929688,137.50999450683594,778100,137.50999450683594,5.827975288746084
1370,2020-06-12,142.63999938964844,137.53999328613278,140.61000061035156,140.32000732421878,544600,140.32000732421878,-2.0434971490331555
1371,2020-06-15,141.25,136.35000610351562,137.32000732421878,140.0,457700,140.0,0.22805537878812965
1372,2020-06-16,145.1999969482422,140.02000427246094,144.63999938964844,141.77999877929688,715500,141.77999877929688,-1.2714276994977678
